threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.56,0.8126740947075209,0.3897795591182365,0.52686230248307,1167,269,82167,1827,1436,47.86666666666667,38.9
0.565,0.8131560531840448,0.38810955243820977,0.525435224960434,1162,267,82169,1832,1429,47.63333333333333,38.733333333333334
0.57,0.814527503526093,0.38577154308617234,0.5235720761559383,1155,263,82173,1839,1418,47.266666666666666,38.5
0.575,0.8158640226628895,0.3847695390781563,0.5229232864275988,1152,260,82176,1842,1412,47.06666666666667,38.4
0.58,0.8185053380782918,0.38410153640614564,0.5228461013866788,1150,255,82181,1844,1405,46.833333333333336,38.333333333333336
0.585,0.8212491026561378,0.38209752839011357,0.5215409163437429,1144,249,82187,1850,1393,46.43333333333333,38.13333333333333
0.59,0.8236574746008708,0.3790915163660655,0.519213174748399,1135,243,82193,1859,1378,45.93333333333333,37.833333333333336
0.595,0.8233576642335766,0.37675350701402804,0.5169569202566452,1128,242,82194,1866,1370,45.666666666666664,37.6
0.6,0.8239178283198826,0.37508350033400134,0.5154923112233188,1123,240,82196,1871,1363,45.43333333333333,37.43333333333333
0.605,0.8257016248153619,0.37341349365397464,0.5142594296228151,1118,236,82200,1876,1354,45.13333333333333,37.266666666666666
0.61,0.8283582089552238,0.37074148296593185,0.5122288878634057,1110,230,82206,1884,1340,44.666666666666664,37.0
0.615,0.8292134831460675,0.3697394789579158,0.5114345114345114,1107,228,82208,1887,1335,44.5,36.9
0.62,0.8314350797266514,0.3657314629258517,0.5080027835768962,1095,222,82214,1899,1317,43.9,36.5
0.625,0.8306636155606407,0.3637274549098196,0.5059233449477352,1089,222,82214,1905,1311,43.7,36.3
0.63,0.8320552147239264,0.3623914495657983,0.504885993485342,1085,219,82217,1909,1304,43.46666666666667,36.166666666666664
0.635,0.8320493066255779,0.36072144288577157,0.5032618825722275,1080,218,82218,1914,1298,43.266666666666666,36.0
0.64,0.8334624322230829,0.3593854375417502,0.5022170361726955,1076,215,82221,1918,1291,43.03333333333333,35.86666666666667
0.645,0.8343701399688958,0.35838343353373414,0.5014018691588784,1073,213,82223,1921,1286,42.86666666666667,35.766666666666666
0.65,0.8369905956112853,0.35671342685370744,0.5002341920374707,1068,208,82228,1926,1276,42.53333333333333,35.6
0.655,0.8379446640316206,0.35404141616566465,0.4977694294435313,1060,205,82231,1934,1265,42.166666666666664,35.333333333333336
0.66,0.8390166534496432,0.353373413493654,0.49729729729729727,1058,203,82233,1936,1261,42.03333333333333,35.266666666666666
0.665,0.8413461538461539,0.35070140280561124,0.495049504950495,1050,198,82238,1944,1248,41.6,35.0
0.67,0.8419354838709677,0.3486973947895792,0.4931506849315068,1044,196,82240,1950,1240,41.333333333333336,34.8
0.675,0.8440292445166532,0.3470273881095524,0.4918343195266272,1039,192,82244,1955,1231,41.03333333333333,34.63333333333333
0.68,0.8436988543371522,0.3443553774215097,0.4890891840607211,1031,191,82245,1963,1222,40.733333333333334,34.36666666666667
0.685,0.8451986754966887,0.34101536406145627,0.48595906711089965,1021,187,82249,1973,1208,40.266666666666666,34.03333333333333
0.69,0.847953216374269,0.3390113560454242,0.4843712717728466,1015,182,82254,1979,1197,39.9,33.833333333333336
0.695,0.851010101010101,0.3376753507014028,0.48350071736011485,1011,177,82259,1983,1188,39.6,33.7
0.7,0.8539898132427843,0.3360053440213761,0.4822627037392138,1006,172,82264,1988,1178,39.266666666666666,33.53333333333333
0.705,0.8538461538461538,0.3336673346693387,0.4798270893371757,999,171,82265,1995,1170,39.0,33.3
0.71,0.8568965517241379,0.331997327989312,0.47857486759749646,994,166,82270,2000,1160,38.666666666666664,33.13333333333333
0.715,0.8568950563746748,0.3299933199732799,0.47648902821316613,988,165,82271,2006,1153,38.43333333333333,32.93333333333333
