feature,source,gain,group,gain_share
freq__freq_id_33,id_33,1.2062739133834839,frequency,0.000746539256440937
num__D11,D11,1.2054784297943115,D,0.0007460469472559477
num__V274,V274,1.205174207687378,V,0.000745858670163172
cat__M4_M1,M4,1.2036670446395874,M,0.000744925916525255
num__V30,V30,1.2033967971801758,V,0.0007447586656752069
num__V60,V60,1.1985834836959839,V,0.0007417798004028685
num__V8,V8,1.1958781480789185,V,0.0007401055212714212
num__V235,V235,1.19342041015625,V,0.0007385844754948703
num__addr1,addr1,1.1890366077423096,addr,0.0007358714261963842
num__V93,V93,1.1881203651428223,V,0.0007353043816293487
num__V106,V106,1.1855274438858032,V,0.0007336996735396285
num__V97,V97,1.1795400381088257,V,0.0007299941855843949
freq__freq_card1_card4,card1_card4,1.1793566942214966,frequency,0.0007298807176499557
num__V279,V279,1.1778470277786255,V,0.0007289464147099429
num__V330,V330,1.1771798133850098,V,0.0007285334888132869
freq__freq_card1_addr1,card1_addr1,1.1754471063613892,frequency,0.0007274611504341741
num__V291,V291,1.1748056411743164,V,0.0007270641602162171
num__V50,V50,1.1664857864379883,V,0.000721915165365509
