threshold,precision,recall,f1,tp,fp,tn,fn,n_flagged,flagged_per_day,fraud_caught_per_day
0.78,0.9157427937915743,0.28640776699029125,0.4363444268357105,826,76,82084,2058,902,30.066666666666666,27.533333333333335
0.785,0.9180695847362514,0.28363384188626906,0.4333774834437086,818,73,82087,2066,891,29.7,27.266666666666666
0.79,0.9228149829738933,0.2819001386962552,0.4318725099601594,813,68,82092,2071,881,29.366666666666667,27.1
0.795,0.9225512528473804,0.28085991678224687,0.430622009569378,810,68,82092,2074,878,29.266666666666666,27.0
0.8,0.9231651376146789,0.279126213592233,0.4286474973375932,805,67,82093,2079,872,29.066666666666666,26.833333333333332
0.805,0.9242424242424242,0.2749653259361997,0.4238375200427579,793,65,82095,2091,858,28.6,26.433333333333334
0.81,0.9236192714453584,0.2725381414701803,0.42088353413654617,786,65,82095,2098,851,28.366666666666667,26.2
0.815,0.9239904988123515,0.2697642163661581,0.4176060118089104,778,64,82096,2106,842,28.066666666666666,25.933333333333334
0.82,0.9228915662650602,0.2656033287101248,0.4124932687129779,766,64,82096,2118,830,27.666666666666668,25.533333333333335
0.825,0.9242979242979243,0.26248266296809986,0.4088576829597623,757,62,82098,2127,819,27.3,25.233333333333334
0.83,0.9234567901234568,0.2593619972260749,0.404981050351922,748,62,82098,2136,810,27.0,24.933333333333334
0.835,0.9238451935081149,0.2565880721220527,0.4016282225237449,740,61,82099,2144,801,26.7,24.666666666666668
0.84,0.9270166453265045,0.2510402219140083,0.39508867667121417,724,57,82103,2160,781,26.033333333333335,24.133333333333333
0.845,0.9295958279009127,0.2472260748959778,0.39057792385647766,713,54,82106,2171,767,25.566666666666666,23.766666666666666
0.85,0.9295212765957447,0.24237170596393898,0.38448844884488453,699,53,82107,2185,752,25.066666666666666,23.3
0.855,0.9302013422818792,0.24029126213592233,0.3819233948746211,693,52,82108,2191,745,24.833333333333332,23.1
0.86,0.931787175989086,0.2368238557558946,0.37766104506497095,683,50,82110,2201,733,24.433333333333334,22.766666666666666
0.865,0.9337016574585635,0.23439667128987518,0.37472283813747226,676,48,82112,2208,724,24.133333333333333,22.533333333333335
0.87,0.9339887640449438,0.23058252427184467,0.36985539488320357,665,47,82113,2219,712,23.733333333333334,22.166666666666668
0.875,0.9345661450924608,0.22780859916782248,0.3663228324505157,657,46,82114,2227,703,23.433333333333334,21.9
0.88,0.9366906474820144,0.22572815533980584,0.363788767812238,651,44,82116,2233,695,23.166666666666668,21.7
0.885,0.9369501466275659,0.22156726768377255,0.35838474481211446,639,43,82117,2245,682,22.733333333333334,21.3
0.89,0.9374068554396423,0.21809986130374479,0.3538677918424754,629,42,82118,2255,671,22.366666666666667,20.966666666666665
0.895,0.9385560675883257,0.21185852981969486,0.3456859971711457,611,40,82120,2273,651,21.7,20.366666666666667
