threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.775,984271.4509999999,1982.0145000000002,986253.4654999999,2629,224,4901,0.015003155237694573,0.9214861549246407,0.349136786188579,0.5064046999903689
0.78,987406.632,1959.8253000000002,989366.4573,2610,222,4920,0.014892721918384519,0.9216101694915254,0.3466135458167331,0.5037637521713955
0.785,990179.7719999999,1873.9027,992053.6746999999,2595,215,4935,0.014777029869583508,0.9234875444839857,0.34462151394422313,0.5019342359767892
0.79,992033.205,1832.2788,993865.4837999999,2574,210,4956,0.014640302902818678,0.9245689655172413,0.34183266932270917,0.49912739965095987
0.795,994492.92,1791.9243999999999,996284.8444000001,2553,207,4977,0.01451409339503576,0.925,0.3390438247011952,0.4962099125364431
0.8,996568.595,1709.5228000000002,998278.1178,2535,200,4995,0.014382625157761885,0.926873857404022,0.33665338645418325,0.49391134924500724
0.805,998355.674,1657.5003000000002,1000013.1743,2513,192,5017,0.014224863273033236,0.9290203327171904,0.3337317397078353,0.4910600879335613
0.81,1001372.371,1588.5632,1002960.9342,2494,184,5036,0.014082877576777451,0.9312920089619119,0.3312084993359894,0.48863636363636365
0.815,1003834.0310000001,1575.5545000000002,1005409.5855,2467,181,5063,0.0139251156920488,0.9316465256797583,0.3276228419654714,0.48477107486736104
0.82,1005893.5730000001,1537.2718,1007430.8448000001,2449,175,5081,0.013798906184265882,0.9333079268292683,0.3252324037184595,0.48237147922001183
0.825,1007502.6940000001,1519.2359000000001,1009021.9299000001,2431,171,5099,0.013683214135464871,0.9342813220599538,0.32284196547144756,0.47986577181208057
0.83,1009830.11,1486.8406,1011316.9506,2400,167,5130,0.013499158603281448,0.9349435138293728,0.3187250996015936,0.4753887293255422
0.835,1012857.507,1418.9940000000001,1014276.5009999999,2373,158,5157,0.013309844341607069,0.9375740813907546,0.3151394422310757,0.47172249279395684
0.84,1014547.531,1414.7585,1015962.2895,2351,157,5179,0.013188893563315103,0.9374003189792663,0.3122177954847278,0.4684200039848575
0.845,1019253.8539999999,1393.1003999999998,1020646.9543999999,2311,154,5219,0.012962768195204038,0.937525354969574,0.3069057104913679,0.4624312156078039
0.85,1022733.753,1351.8359,1024085.5889,2280,148,5250,0.012768195204038704,0.9390444810543658,0.30278884462151395,0.4579232777666198
0.855,1030481.5729999999,1264.2526,1031745.8255999999,2249,143,5281,0.012578880942364324,0.9402173913043478,0.29867197875166,0.4533360209635154
0.86,1035216.624,1199.5827,1036416.2067,2214,138,5316,0.012368531762726126,0.9413265306122449,0.2940239043824701,0.44808743169398907
0.865,1038336.4859999999,1182.5075,1039518.9934999999,2180,134,5350,0.012168700042069837,0.9420916162489196,0.28950863213811423,0.4429093864282812
0.87,1042895.867,1166.8041999999998,1044062.6712,2148,133,5382,0.011995161968868321,0.9416922402455064,0.2852589641434263,0.43787585363367654
0.875,1045983.9570000002,1132.4187000000004,1047116.3757000002,2116,127,5414,0.011795330248212032,0.9433794025858225,0.2810092961487384,0.43302977591323033
0.88,1050608.6400000001,1050.9085,1051659.5485,2082,122,5448,0.011590239798064788,0.9446460980036298,0.2764940239043825,0.4277789192521061
0.885,1053877.6919999998,1023.5198,1054901.2117999997,2052,119,5478,0.011416701724863273,0.9451865499769692,0.2725099601593626,0.4230491701886404
0.89,1058851.083,996.9494999999998,1059848.0325000002,2009,115,5521,0.01116954143878839,0.9458568738229756,0.2667994687915007,0.4162005386368345
0.895,1063893.0919999997,936.1189,1064829.2108999996,1969,111,5561,0.01093815734118637,0.9466346153846154,0.2614873837981408,0.4097814776274714
0.9,1066819.03,863.0247,1067682.0547,1937,108,5593,0.010754101809002945,0.9471882640586797,0.25723771580345284,0.4045953002610966
