threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.81,1005470.591,1760.8383,1007231.4293,2405,175,5125,0.013567522086663862,0.9321705426356589,0.3193891102257636,0.4757665677546983
0.815,1007657.449,1723.0089,1009380.4579,2387,171,5143,0.013451830037862853,0.9331508991399531,0.31699867197875164,0.4732355273592387
0.82,1008940.024,1691.9344,1010631.9584,2377,165,5153,0.013367690366007573,0.9350904799370574,0.3156706507304117,0.472001588562351
0.825,1010341.524,1675.0467,1012016.5706999999,2356,162,5174,0.013241480858224653,0.9356632247815727,0.31288180610889776,0.46894904458598735
0.83,1012963.771,1590.9913,1014554.7623,2334,157,5196,0.013099495161968868,0.9369731031714171,0.3099601593625498,0.46582177427402455
0.835,1014021.408,1544.5399,1015565.9479,2320,152,5210,0.012999579301640724,0.9385113268608414,0.30810092961487384,0.46390721855628875
0.84,1016970.358,1538.5038,1018508.8618,2295,151,5235,0.012862852334875894,0.9382665576451349,0.3047808764940239,0.4601042502004812
0.845,1019286.2609999999,1514.3869,1020800.6479,2271,148,5259,0.012720866638620109,0.9388176932616784,0.30159362549800794,0.4565282943009347
0.85,1020959.646,1457.3377999999998,1022416.9837999999,2250,142,5280,0.012578880942364324,0.9406354515050167,0.29880478087649404,0.4535375932271719
0.855,1025461.974,1291.7467,1026753.7207000001,2219,135,5311,0.012379049221708035,0.9426508071367884,0.2946879150066401,0.4490084985835694
0.86,1029928.194,1271.8318,1031200.0258000001,2182,131,5348,0.012163441312578882,0.9433635970600951,0.2897742363877822,0.443360763994717
0.865,1033794.3900000001,1187.8195,1034982.2095000001,2161,123,5369,0.012010938157341186,0.9461471103327496,0.28698539176626825,0.4403912777664561
0.87,1035732.5560000001,1121.6619000000003,1036854.2179,2134,117,5396,0.011837400084139672,0.9480231008440693,0.28339973439575034,0.43635620079746446
0.875,1038443.7629999999,1061.9932,1039505.7562,2112,113,5418,0.011700673117374842,0.9492134831460675,0.2804780876494024,0.4330087134802666
