threshold,fn_cost,fp_cost,total_cost,tp,fp,fn,flagged_rate,precision,recall,f1
0.92,1083009.34,692.0731999999999,1083701.4132,1776,86,5754,0.009791754312158183,0.9538131041890441,0.2358565737051793,0.3781942078364566
0.925,1086919.3619999997,665.0832999999999,1087584.4452999998,1736,83,5794,0.009565628944047118,0.954370533260033,0.2305444887118194,0.37137661782008774
0.93,1094894.684,639.7824,1095534.4663999998,1692,79,5838,0.009313209928481279,0.9553924336533032,0.22470119521912352,0.36383184603806046
0.935,1100832.2659999998,595.9101999999999,1101428.1761999999,1649,73,5881,0.009055532183424485,0.9576074332171893,0.21899070385126163,0.356463467358409
0.94,1104188.044,538.1958000000001,1104726.2398,1611,65,5919,0.008813630626840555,0.961217183770883,0.21394422310756972,0.34998913751900934
0.945,1109715.924,490.45989999999995,1110206.3839,1554,58,5976,0.008477071939419436,0.9640198511166254,0.20637450199203186,0.33996937212863704
0.95,1115239.867,438.70009999999996,1115678.5671,1488,53,6042,0.008103702145561633,0.9656067488643738,0.19760956175298805,0.328078491897255
0.955,1120978.647,434.05369999999994,1121412.7007000002,1430,52,6100,0.007793437105595288,0.9649122807017544,0.1899070385126162,0.3173546382600977
0.96,1129141.5559999999,398.4717999999999,1129540.0277999998,1360,47,6170,0.0073990323937736645,0.9665955934612651,0.1806108897742364,0.3043526910596397
0.965,1136416.429,331.0691999999999,1136747.4982,1288,44,6242,0.00700462768195204,0.9669669669669669,0.17104913678618858,0.29067930489731436
0.97,1142911.125,274.3689999999999,1143185.494,1203,38,6327,0.006526083298275137,0.9693795326349718,0.1597609561752988,0.27431307718618175
0.975,1154397.3390000002,261.6805,1154659.0195000002,1113,35,6417,0.006037021455616323,0.9695121951219512,0.14780876494023903,0.2565107167550127
0.98,1169856.344,224.13490000000004,1170080.4789,951,28,6579,0.00514829617164493,0.9713993871297242,0.12629482071713147,0.2235280291456105
0.985,1188939.1570000001,183.14220000000003,1189122.2992,784,21,6746,0.004233277240218763,0.9739130434782609,0.10411686586985391,0.188122375524895
0.99,1213248.037,161.9829,1213410.0199,567,17,6963,0.0030710980227177114,0.9708904109589042,0.0752988047808765,0.13975844219866898
