feature,source,gain,group,gain_share
num__id_11,id_11,4.344784259796143,identity,0.0005159838311860562
cat__id_16_<missing>,id_16,4.3329548835754395,identity,0.0005145789819466176
cat__id_28_Found,id_28,4.306330680847168,identity,0.0005114171084669313
num__V8,V8,4.30290412902832,V,0.0005110101733397705
num__V179,V179,4.274491786956787,V,0.0005076359415624425
num__V132,V132,4.26670503616333,V,0.0005067111919623122
num__V10,V10,4.261503219604492,V,0.0005060934275172527
num__V290,V290,4.249509811401367,V,0.0005046690979433104
num__V304,V304,4.2114949226379395,V,0.0005001544737932069
num__V178,V178,4.174871444702148,V,0.0004958050927131083
num__V228,V228,4.15515661239624,V,0.0004934637716955096
num__V127,V127,4.144443035125732,V,0.0004921914340337992
num__V211,V211,4.116405487060547,V,0.000488861712555657
